filename, x_i, y_i, x_f, y_f
./test/1, 0, 27, 5, 0
./test/1, 0, 28, 5, 1
./test/1, 0, 29, 5, 2
./test/1, 0, 30, 5, 4
./test/1, 0, 31, 5, 5
./test/1, 0, 32, 5, 7
./test/1, 0, 33, 5, 8
./test/1, 0, 34, 5, 10
./test/1, 0, 35, 5, 11
./test/1, 0, 36, 5, 13
./test/1, 0, 37, 5, 14
./test/1, 0, 38, 5, 16
./test/1, 0, 39, 5, 17
./test/1, 0, 40, 5, 19
./test/1, 0, 41, 5, 20
./test/1, 0, 42, 5, 22
./test/1, 0, 43, 5, 23
./test/1, 0, 44, 5, 25
./test/1, 0, 45, 5, 26
./test/1, 0, 46, 5, 28
./test/1, 0, 47, 5, 29
./test/1, 0, 48, 5, 31
./test/1, 0, 49, 5, 32
./test/1, 0, 50, 5, 34
./test/1, 0, 51, 5, 35
./test/1, 0, 52, 5, 37
./test/1, 0, 53, 5, 38
./test/1, 0, 54, 5, 40
./test/1, 0, 55, 6, 41
./test/1, 0, 56, 6, 43
./test/1, 0, 57, 6, 44
./test/1, 0, 58, 6, 46
./test/1, 0, 59, 6, 47
./test/1, 0, 60, 6, 49
./test/1, 0, 61, 6, 50
./test/1, 0, 62, 6, 52
./test/1, 0, 63, 6, 53
./test/1, 0, 64, 6, 55
./test/1, 0, 65, 6, 56
./test/1, 0, 66, 6, 58
./test/1, 0, 67, 6, 59
./test/1, 0, 68, 6, 61
./test/1, 0, 69, 6, 62
./test/1, 0, 70, 6, 63
./test/1, 0, 71, 6, 65
./test/1, 0, 72, 6, 66
./test/1, 0, 73, 6, 68
./test/1, 0, 74, 6, 69
./test/1, 0, 75, 6, 71
./test/1, 0, 76, 6, 72
./test/1, 0, 77, 6, 74
./test/1, 0, 78, 6, 75
./test/1, 0, 79, 6, 77
./test/1, 0, 80, 6, 78
./test/1, 0, 81, 6, 80
./test/1, 0, 82, 6, 81
./test/1, 0, 83, 6, 83
./test/1, 0, 84, 6, 84
